Atlanti's Project Engine Memory Tracker - 0.1A
----------------------------------------------

Logging...


Reporting Leaks...
[..\inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3d91ac.
[..\inc/Map.h]{Pair}(39) 12 bytes leak in adress 0x3d91c4.
[..\inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3d9254.
[..\inc/Map.h]{Pair}(39) 12 bytes leak in adress 0x3d926c.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3d92fc.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3d9314.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3d932c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3d9344.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3d935c.
[inc/Array.h]{reserve}(186) 11 bytes leak in adress 0x3d9370.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3d938c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3d93a4.
[inc/Array.h]{reserve}(186) 12 bytes leak in adress 0x3d93b8.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3d93d4.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3d93ec.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3d9404.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3d941c.
[inc/Array.h]{reserve}(186) 11 bytes leak in adress 0x3d9430.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3d944c.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3d947c.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3d9494.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3d94ac.
[inc/Array.h]{reserve}(186) 9 bytes leak in adress 0x3d94c0.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3d94dc.
[inc/Array.h]{reserve}(186) 48 bytes leak in adress 0x3d9550.
[inc/Array.h]{reserve}(186) 31 bytes leak in adress 0x3da218.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3daadc.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x3dacbc.
[inc/Variant.h]{clone}(68) 32 bytes leak in adress 0x3db0ac.
[inc/Array.h]{reserve}(186) 76 bytes leak in adress 0x3db500.
[inc/Array.h]{reserve}(186) 89 bytes leak in adress 0x3db558.
[inc/Array.h]{reserve}(186) 76 bytes leak in adress 0x3db670.
[inc/Array.h]{reserve}(186) 64 bytes leak in adress 0x3db788.
[inc/Variant.h]{clone}(68) 16 bytes leak in adress 0x3db924.
[inc/Array.h]{reserve}(186) 20 bytes leak in adress 0x3db9e0.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3dbb24.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x3dbd04.
[inc/Variant.h]{clone}(68) 16 bytes leak in adress 0x3dbe64.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3dbf24.
[inc/Array.h]{reserve}(186) 36 bytes leak in adress 0x3dc230.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x3dc924.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3dcb64.
